San Diego 1
MT SAC EARLY COLG ACD W COVINA|Los Angeles|West Covina||MT. SAC EARLY COLLEGE ACADEMY AT WEST COVINA|Los Angeles|West Covina Unified|91791
NARBONNE HIGH SCHOOL|Los Angeles|Harbor City||NATHANIEL NARBONNE SENIOR HIGH|Los Angeles|Los Angeles Unified|90710
NAVA COLLEGE PREP ACADEMY|Los Angeles|Los Angeles||NAVA COLLEGE PREPARATORY ACADEMY|Los Angeles|Los Angeles Unified|90011
NEW DESIGNS CHARTER SCH WATTS|Los Angeles|Los Angeles||NEW DESIGNS CHARTER SCHOOL-WATTS|Los Angeles|New Designs Charter School-Watts|90061
NEW OPEN WORLD ACADEMY|Los Angeles|Los Angeles||NEW OPEN WORLD ACADEMY K-12|Los Angeles|Los Angeles Unified|90010
NORTH HOLLYWOOD HIGH SCHOOL|Los Angeles|North Hollywood||NORTH HOLLYWOOD SENIOR HIGH|Los Angeles|Los Angeles Unified|91601
OPPORTUNITIES LRN-WILLIAM HART|Los Angeles|Valencia||OPPORTUNITIES FOR LEARNING - WILLIAM S. HART|Los Angeles|Opportunities for Learning - William S.|91355
OPTIONS FOR YOUTH DUARTE|Los Angeles|Pasadena||OPTIONS FOR YOUTH - DUARTE, INC|Los Angeles|Options For Youth - Duarte, Inc|91107
ORTHOPAEDIC HOSP MED MAGNET HS|Los Angeles|Los Angeles||ORTHOPAEDIC HOSPITAL|Los Angeles|Los Angeles Unified|90007
PERFORMING ARTS COMMUNITY SCHO|Los Angeles|Los Angeles||PERFORMING ARTS COMMUNITY AT DIEGO RIVERA LEARNING|Los Angeles|Los Angeles Unified|90001
PHINEAS BANNING HIGH SCHOOL|Los Angeles|Wilmington||PHINEAS BANNING SENIOR HIGH|Los Angeles|Los Angeles Unified|90744
PUBLIC SERVICE COMMUNITY SCHOO|Los Angeles|Los Angeles||PUBLIC SERVICE COMMUNITY AT DIEGO RIVERA LEARNING|Los Angeles|Los Angeles Unified|90001
PUC CALS MIDDLE AND EARLY COLL|Los Angeles|Los Angeles||PUC CALS MIDDLE SCHOOL AND EARLY COLLEGE HIGH|Los Angeles|PUC CALS Middle School and Early College|90041
PUC COMMUNITY CHARTER EARLY COLL HS|Los Angeles|Sylmar||PUC COMMUNITY CHARTER MIDDLE AND PUC COMMUNITY CHA|Los Angeles|PUC Community Charter Middle and PUC Com|91342
PUC EARLY COLG ACADEMY LEADERS|Los Angeles|Los Angeles||PUC EARLY COLLEGE ACADEMY FOR LEADERS AND SCHOLARS|Los Angeles|PUC Early College Academy for Leaders an|90065
